"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: IDMP Mapping","Mapping: RIM Mapping"
"RegulatedAuthorization","RegulatedAuthorization","","","",0,*,"","","","null {[]} {[]}
","Regulatory approval, clearance or licencing related to a regulated product, treatment, facility or activity e.g. Market Authorization for a Medicinal Product","Regulatory approval, clearance or licencing related to a regulated product, treatment, facility or activity that is cited in a guidance, regulation, rule or legislative act. An example is Market Authorization relating to a Medicinal Product.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization",0,*,"","","administrative.medication","Marketing Authorization, Clinical Trial Authorization","Entity, Role, or Act"
"RegulatedAuthorization.id","RegulatedAuthorization.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"RegulatedAuthorization.meta","RegulatedAuthorization.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RegulatedAuthorization.identifier.type","RegulatedAuthorization.identifier.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Description of identifier","A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.","Allows users to make use of identifiers when the identifier system is not known.","","","","","","","",,"extensible","A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","http://hl7.org/fhir/ValueSet/identifier-type","",,,,"Identifier.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Role.code or implied by context"
"RegulatedAuthorization.identifier.system","RegulatedAuthorization.identifier.system","","","",0,1,"","","Y","uri {[]} {[]}
","The namespace for the identifier value","Establishes the namespace for the value - that is, an absolute URL that describes a set values that are unique.","Identifier.system is always case sensitive.","There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://ema.europa.eu/fhir/marketingAuthorizationNumber""/>","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>","","",,,,,"",,,,"Identifier.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","II.root or Role.id.root"
"RegulatedAuthorization.identifier.value","RegulatedAuthorization.identifier.value","","","",0,1,"","","Y","string {[]} {[]}
","The value that is unique","The portion of the identifier typically relevant to the user and which is unique within the context of the system.","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [http://hl7.org/fhir/StructureDefinition/rendered-value](http://hl7.org/fhir/extensions/StructureDefinition-rendered-value.html)). Identifier.value is to be treated as case sensitive unless knowledge of the Identifier.system allows the processer to be confident that non-case-sensitive processing is safe.","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""123456""/>","","",,,,,"",,,,"Identifier.value",0,1,"ident-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)"
"RegulatedAuthorization.identifier.period","RegulatedAuthorization.identifier.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when id is/was valid for use","Time period during which identifier is/was valid for use.","","","","","","","","","",,,,,"",,,,"Identifier.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Role.effectiveTime or implied by context"
"RegulatedAuthorization.identifier.assigner","RegulatedAuthorization.identifier.assigner","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Organization that issued id (may be just text)","Organization that issued/manages the identifier.","The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.","","","","","","","","",,,,,"",,,,"Identifier.assigner",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper"
"RegulatedAuthorization.subject","RegulatedAuthorization.subject","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/TransitionMedicinalProductDefinition], CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/TransitionPackagedProductDefinition]]}
","Reference to the medicinal product or a single package, depending on how the MA has been issued","The product type, treatment, facility or activity that is being authorized.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.subject",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(the link to Medicinal Product or Packaged Medicinal Product)"
"RegulatedAuthorization.type","RegulatedAuthorization.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Overall type of this authorization, for example drug marketing approval, orphan drug designation","Overall type of this authorization, for example drug marketing approval, orphan drug designation.","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""https://spor.ema.europa.eu/v1/lists/220000000060""/>
    <code value=""220000000061""/>
    <display value=""Marketing Authorisation""/>
  </coding>
</valueCodeableConcept>","","","",,"example","Overall type of this authorization.","http://hl7.org/fhir/ValueSet/regulated-authorization-type","",,,,"RegulatedAuthorization.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"RegulatedAuthorization.description","RegulatedAuthorization.description","","","",0,1,"","","Y","markdown {[]} {[]}
","General textual supporting information","General textual supporting information.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"RegulatedAuthorization.region","RegulatedAuthorization.region","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The territory in which the authorization has been granted","EMA IG 2.3","","","","","","","","","",,"example","Jurisdiction codes","http://hl7.org/fhir/ValueSet/jurisdiction","",,,,"RegulatedAuthorization.region",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization.Country"
"RegulatedAuthorization.status","RegulatedAuthorization.status","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Marketing authorisation status","EMA IG 2.4","","","","","","","","","",,"preferred","The lifecycle status of an artifact.","http://hl7.org/fhir/ValueSet/publication-status","",,,,"RegulatedAuthorization.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization.Authorization Status"
"RegulatedAuthorization.statusDate","RegulatedAuthorization.statusDate","","","",0,1,"","","Y","dateTime {[]} {[]}
","Issue/changing date of the marketing authorisation","EMA IG 2.5","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.statusDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization.Authorization Status Date"
"RegulatedAuthorization.validityPeriod","RegulatedAuthorization.validityPeriod","","","",0,1,"","","Y","Period {[]} {[]}
","The time period in which the regulatory approval etc. is in effect, e.g. a Marketing Authorization includes the date of authorization and/or expiration date","The time period in which the regulatory approval, clearance or licencing is in effect. As an example, a Marketing Authorization includes the date of authorization and/or an expiration date.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.validityPeriod",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization.Validity Period Start, Marketing Authorization.Validity Period End"
"RegulatedAuthorization.indication","RegulatedAuthorization.indication","","","",0,*,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ClinicalUseDefinition]]}
","Condition for which the use of the regulated product applies","Condition for which the use of the regulated product applies.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.indication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"RegulatedAuthorization.intendedUse","RegulatedAuthorization.intendedUse","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The intended use of the product, e.g. prevention, treatment","The intended use of the product, e.g. prevention, treatment, diagnosis.","","","","","","","","","",,"preferred","The overall intended use of a product.","http://hl7.org/fhir/ValueSet/product-intended-use","",,,,"RegulatedAuthorization.intendedUse",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"RegulatedAuthorization.basis","RegulatedAuthorization.basis","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The legal/regulatory framework or reasons under which this authorization is granted","The legal or regulatory framework against which this authorization is granted, or other reasons for it.","","","","","","","","","",,"example","A legal or regulatory framework against which an authorization is granted, or other reasons for it.","http://hl7.org/fhir/ValueSet/regulated-authorization-basis","",,,,"RegulatedAuthorization.basis",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization.Status Reasons.Legal Grounds"
"RegulatedAuthorization.holder","RegulatedAuthorization.holder","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://unicom-project.eu/fhir/StructureDefinition/TransitionOrganization]]}
","The organization that has been granted this authorization, by the regulator","EMA IG 2.8","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.holder",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization.Marketing Authorization Holder (Organisation)"
"RegulatedAuthorization.regulator","RegulatedAuthorization.regulator","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","The regulatory authority or authorizing body granting the authorization","The regulatory authority or authorizing body granting the authorization. For example, European Medicines Agency (EMA), Food and Drug Administration (FDA), Health Canada (HC), etc.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.regulator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization.Medicines Regulatory Agency (Organisation)"
"RegulatedAuthorization.attachedDocument","RegulatedAuthorization.attachedDocument","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","Additional information or supporting documentation about the authorization","Additional information or supporting documentation about the authorization.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.attachedDocument",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"RegulatedAuthorization.case","RegulatedAuthorization.case","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","The case or regulatory procedure for granting or amending a regulated authorization. Note: This area is subject to ongoing review and the workgroup is seeking implementer feedback on its use (see link at bottom of page)","The case or regulatory procedure for granting or amending a regulated authorization. An authorization is granted in response to submissions/applications by those seeking authorization. A case is the administrative process that deals with the application(s) that relate to this and assesses them. Note: This area is subject to ongoing review and the workgroup is seeking implementer feedback on its use (see link at bottom of page).","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.case",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization.Marketing Authorization Procedure, Marketing Authorization Procedure.Marketing Authorization Application"
"RegulatedAuthorization.case.id","RegulatedAuthorization.case.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"RegulatedAuthorization.case.extension","RegulatedAuthorization.case.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"RegulatedAuthorization.case.modifierExtension","RegulatedAuthorization.case.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"RegulatedAuthorization.case.identifier","RegulatedAuthorization.case.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Identifier by which this case can be referenced","Identifier by which this case can be referenced.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.case.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization Procedure.Procedure Identifier / Number, Marketing Authorization Application.Application Identifier / Number"
"RegulatedAuthorization.case.type","RegulatedAuthorization.case.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The defining type of case","The defining type of case.","","","","","","","","","",,"example","The type of a case involved in an application.","http://hl7.org/fhir/ValueSet/regulated-authorization-case-type","",,,,"RegulatedAuthorization.case.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization Procedure.Procedure Type, Marketing Authorization Application.Application Type"
"RegulatedAuthorization.case.status","RegulatedAuthorization.case.status","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The status associated with the case","The status associated with the case.","","","","","","","","","",,"preferred","The lifecycle status of an artifact.","http://hl7.org/fhir/ValueSet/publication-status","",,,,"RegulatedAuthorization.case.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"RegulatedAuthorization.case.date[x]","RegulatedAuthorization.case.date[x]","","","",0,1,"","","Y","Period {[]} {[]}
dateTime {[]} {[]}","Relevant date for this case","Relevant date for this case.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.case.date[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization Procedure.Procedure Date Start, Marketing Authorization Procedure.Procedure Date End, Marketing Authorization Application.Application Date"
"RegulatedAuthorization.case.application","RegulatedAuthorization.case.application","","","",0,*,"","","Y","null {[]} {[]}
","Applications submitted to obtain a regulated authorization. Steps within the longer running case or procedure","A regulatory submission from an organization to a regulator, as part of an assessing case. Multiple applications may occur over time, with more or different information to support or modify the submission or the authorization. The applications can be considered as steps within the longer running case or procedure for this authorization process.","","","","","","","","","",,,,,"",,,,"RegulatedAuthorization.case.application",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Marketing Authorization.Marketing Authorization Application"
